EAN;SALDO;PROD;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
10;00001;10;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
2;00001;2;
