teste;teste;teste;teste;teste;teste;teste;
7891033731138;NSPA COND VERB 300ml;73113;00001;00454;;01/04/2021 08:24:31;22/04/2021 18:16:54;
7891033731138;NSPA COND VERB 300ml;73113;00001;00454;;01/04/2021 08:24:35;22/04/2021 18:16:54;
7891033731138;NSPA COND VERB 300ml;73113;00001;00454;;01/04/2021 08:24:38;22/04/2021 18:16:54;
7891033433490;BOTI NECESS MASC MALBEC CLUB PVC C/ALC;43349;00001;00222;;01/04/2021 08:25:10;22/04/2021 18:16:54;
7891033826674;MALBEC DES COL BODY SPLASH BLACK 200ml;82667;00001;00222;;01/04/2021 08:25:14;22/04/2021 18:16:54;
7891033749065;MALBEC SHW GEL CPO BLACK 200g;74906;00001;00222;;01/04/2021 08:25:17;22/04/2021 18:16:54;
7891033288137;ACCORDES DES COL 80ml V4;28813;00001;00222;;01/04/2021 08:25:20;22/04/2021 18:16:54;
7891033719785;ACCORDES CREM HID DES CPO 200ml;71978;00001;00222;;01/04/2021 08:25:23;22/04/2021 18:16:54;
7891033823543;KIT BOTIK VITAMINA B5/ACIDO HIALURONIC;82354;00001;00400;;01/04/2021 08:36:57;22/04/2021 18:16:54;
7891033823543;KIT BOTIK VITAMINA B5/ACIDO HIALURONIC;82354;00001;00400;;01/04/2021 08:36:52;22/04/2021 18:16:54;
7891033815081;KIT BOTIK COMPLETO;81508;00001;00400;;01/04/2021 08:36:45;22/04/2021 18:16:54;
7891033771219;ESTJ FLORATTA FLOWERS REG/19;77121;00001;00223;;01/04/2021 08:26:28;22/04/2021 18:16:54;
7891033213184;GLAMOUR DES COL SEC BL 75ml V3;21318;00001;00223;;01/04/2021 08:26:36;22/04/2021 18:16:54;
7891033718177;GLAMOUR CREM HID DES CPO SEC BL 200ml;71817;00001;00223;;01/04/2021 08:26:37;22/04/2021 18:16:54;
7891033771370;BOTIK CREM FAC FIRMADOR AC/HIAL 40g;77137;00001;00501;;01/04/2021 08:37:35;22/04/2021 18:16:54;
7891033771387;BOTIK CR CON OLH RED/RUG AC/HIAL CAF 15g;77138;00001;00501;;01/04/2021 08:37:42;22/04/2021 18:16:54;
7891033771318;BOTIK SRM FAC ALT/POT AC/KOJIC 30ml;77131;00001;00501;;01/04/2021 08:38:11;22/04/2021 18:16:54;
7891033771363;BOTIK GEL CREM FAC FIRMADOR AC/HIAL 40g;77136;00001;00501;;01/04/2021 08:38:16;22/04/2021 18:16:54;
7891033771301;BOTIK SRM FAC ALT/POT ANTIOX VIT C 30ml;77130;00001;00501;;01/04/2021 08:38:19;22/04/2021 18:16:54;
7891033441686;CARTUCHO INST C/VISOR LACO VERDE;44168;00001;00224;;01/04/2021 08:26:50;22/04/2021 18:16:54;
7891033757923;FLORATTA DES COL RED 75ml;75792;00001;00224;;01/04/2021 08:26:54;22/04/2021 18:16:54;
7891033757916;FLORATTA OL DES CPO PERF RED 150ml;75791;00001;00224;;01/04/2021 08:26:56;22/04/2021 18:16:54;
7891033748938;EGEO DES BDY SPR DOLCE 100ml V8 PCK;74893;00001;00224;;01/04/2021 08:26:59;22/04/2021 18:16:54;
7891033244539;EGEO DES COL DOLCE 90ml;24453;00001;00224;;01/04/2021 08:27:01;22/04/2021 18:16:54;
7891033414505;INTENSE NECESSAIRE PINK EM PVC S/ALCA;41450;00001;00224;;01/04/2021 08:27:10;22/04/2021 18:16:54;
7891033738496;MALBEC DES COL GOLD 100ml V2;73849;00001;00312;;01/04/2021 08:25:06;22/04/2021 18:16:54;
7891033738496;MALBEC DES COL GOLD 100ml V2;73849;00001;00312;;01/04/2021 08:25:14;22/04/2021 18:16:54;
7891033738045;MALBEC CREME HID MULTIFUNCIONAL 50ml;73804;00001;00312;;01/04/2021 08:25:23;22/04/2021 18:16:54;
7891033738045;MALBEC CREME HID MULTIFUNCIONAL 50ml;73804;00001;00312;;01/04/2021 08:25:25;22/04/2021 18:16:54;
7891033737949;MALBEC POS BARB CLUB 100g;73794;00001;00312;;01/04/2021 08:25:33;22/04/2021 18:16:54;
7891033737949;MALBEC POS BARB CLUB 100g;73794;00001;00312;;01/04/2021 08:25:41;22/04/2021 18:16:54;
7891033737949;MALBEC POS BARB CLUB 100g;73794;00001;00312;;01/04/2021 08:25:48;22/04/2021 18:16:54;
7891033737949;MALBEC POS BARB CLUB 100g;73794;00001;00312;;01/04/2021 08:25:55;22/04/2021 18:16:54;
7891033765386;MALBEC DES AER ANTIT CLUB 75g;76538;00001;00312;;01/04/2021 08:26:25;22/04/2021 18:16:54;
7891033736089;MALBEC DES COL NOIR 100ml V2;73608;00001;00312;;01/04/2021 08:26:49;22/04/2021 18:16:54;
7891033736089;MALBEC DES COL NOIR 100ml V2;73608;00001;00312;;01/04/2021 08:26:57;22/04/2021 18:16:54;
7891033737956;MALBEC LOC HID DES CPO CLUB 250ml;73795;00001;00312;;01/04/2021 08:26:02;22/04/2021 18:16:54;
7891033737956;MALBEC LOC HID DES CPO CLUB 250ml;73795;00001;00312;;01/04/2021 08:26:08;22/04/2021 18:16:54;
