CODIGO;DESCR;QUANT
7891033749690;;37
7891033775125;;62
7891033295272;;329
7891033825783;;35
7891033825776;;28
7891033807611;;270
7891033825769;;36
7891033736072;;97
7891033825745;;36
7891033831883;;117
7891033825684;;26
7891033825707;;20
7891033825738;;21
7891033825653;;30
7891033825752;;15
7891033740321;;77
7891033815357;;49
7891033815449;;5
7891033817238;;11
7891033834341;;82
7891033813315;;242
7891033771219;;12
7891033729968;;16
7891033815425;;1
7891033815319;;14
7891033757923;;116
7891033819546;;183
7891033254729;;129
7891033794164;;82
7891033815418;;3
7891033817245;;6
7891033834808;;5
7891033814237;;190
7891033254583;;151
7891033254774;;54
7891033716418;;84
7891033833078;;319
7891033439133;;32
7891033759712;;155
7891033751518;;67
7891033283507;;38
7891033711864;;124
7891033285273;;90
7891033758258;;124
7891033776900;;44
7891033820337;;96
7891033820528;;53
7891033244539;;140
7891033738496;;54
7891033767007;;76
7891033744732;;46
7891033756094;;91
7891033706747;;25
7891033829156;;169
7891033245079;;55
7891033711338;;70
7891033758777;;227
7891033701162;;37
7891033814176;;40
7891033454785;;2
7891033441648;;56
7891033462766;;22
7891033432998;;155
7891033820535;;72
7891033758784;;174
7891033770434;;59
7891033807659;;76
7891033831890;;113
7891033283712;;170
7891033244553;;41
7891033226368;;34
7891033766642;;113
7891033711918;;89
7891033759729;;70
7891033820450;;222
7891033757237;;112
7891033737123;;31
7891033441501;;49
7891033441563;;33
7891033441624;;44
7891033441549;;194
7891033825714;;15
7891033840588;;20
7891033825660;;9
7891033825646;;55
7891033456840;;36
7891033456840;;1
7891033822720;;36
7891033438921;;36
7891033446759;;36
7891033768455;;33
7891033822737;;33
7891033737130;;33
7891033776016;;33
7891033757718;;36
7891033757725;;36
7891033766253;;33
7891033446926;;36
7891033757718;;3
7891033831906;;267
7891033288625;;7
7891033718207;;15
7891033721047;;2
7891033283910;;3
7891033758449;;6
7891033295975;;12
7891033433452;;6
7891033736386;;5
7891033706853;;11
7891033758166;;11
7891033749584;;5
7891033720224;;13
7891033813599;;21
7891033706730;;6
7891033779802;;3
7891033706723;;10
7891033709007;;16
7891033758432;;2
7891033283927;;1
7891033758456;;5
7891033295234;;1
7891033296019;;4
7891033723201;;3
7891033721030;;1
7891033721092;;3
